Date,AVG_1,AVG_2
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,221.66800079345703,0.0
2020-01-17,222.08500061035156,0.0
2020-01-21,223.12799987792968,0.0
2020-01-22,223.68999938964845,0.0
2020-01-23,224.16399841308595,0.0
2020-01-24,224.2769989013672,0.0
2020-01-27,223.4739990234375,0.0
2020-01-28,221.63799896240235,0.0
2020-01-29,219.61299896240234,0.0
2020-01-30,218.16599884033204,0.0
2020-01-31,216.51799926757812,219.09300003051757
2020-02-03,214.78299865722656,218.43399963378906
2020-02-04,213.35,218.23899993896484
2020-02-05,213.41200103759766,218.55100021362304
2020-02-06,213.1970016479492,218.68050003051758
2020-02-07,213.3740005493164,218.82549972534179
2020-02-10,213.6520004272461,218.5629997253418
2020-02-11,214.68200073242187,218.1599998474121
2020-02-12,215.3800018310547,217.49650039672852
2020-02-13,216.60900115966797,217.3875
2020-02-14,217.78700103759766,217.1525001525879
2020-02-18,219.09100189208985,216.9370002746582
2020-02-19,219.83300170898437,216.59150085449218
2020-02-20,219.75900115966797,216.58550109863282
2020-02-21,219.54100036621094,216.36900100708007
2020-02-24,218.71000061035156,216.042000579834
2020-02-25,217.67300109863282,215.66250076293946
2020-02-26,216.65700073242186,215.66950073242188
2020-02-27,215.81000061035155,215.59500122070312
2020-02-28,213.8820007324219,215.24550094604493
2020-03-02,212.64600067138673,215.21650085449218
2020-03-03,211.78099975585937,215.4360008239746
2020-03-04,210.46999969482422,215.1515007019043
2020-03-05,209.4520004272461,214.60550079345703
2020-03-06,208.79400177001952,214.16750106811523
2020-03-09,207.9990020751953,213.35450134277343
2020-03-10,207.1490020751953,212.41100158691407
2020-03-11,207.227001953125,211.94200134277344
2020-03-12,206.24400177001954,211.02700119018556
2020-03-13,204.2510025024414,209.06650161743164
2020-03-16,202.85100250244142,207.74850158691407
2020-03-17,199.63800354003905,205.70950164794922
2020-03-18,197.3780029296875,203.92400131225585
2020-03-19,194.18200225830077,201.81700134277344
2020-03-20,191.1240020751953,199.95900192260743
2020-03-23,188.79000244140624,198.39450225830078
2020-03-24,186.6580017089844,196.90350189208985
2020-03-25,184.59400177001953,195.91050186157227
2020-03-26,183.55900115966796,194.90150146484376
2020-03-27,184.58100128173828,194.41600189208984
2020-03-30,184.04000091552734,193.44550170898438
2020-03-31,185.28200073242186,192.46000213623046
2020-04-01,186.2490005493164,191.81350173950196
2020-04-02,187.00500030517577,190.59350128173827
2020-04-03,187.80699920654297,189.46550064086915
2020-04-06,188.38799896240235,188.5890007019043
2020-04-07,190.3989990234375,188.52850036621095
2020-04-08,191.6239990234375,188.1090003967285
2020-04-09,192.36599884033203,187.9625
2020-04-13,192.47099761962892,188.5259994506836
2020-04-14,193.55599822998047,188.7979995727539
2020-04-15,194.90699768066406,190.09449920654296
2020-04-16,196.2759979248047,191.26249923706055
2020-04-17,198.78599853515624,192.895499420166
2020-04-20,200.84599914550782,194.32649917602538
2020-04-21,203.3479995727539,195.8679992675781
2020-04-22,204.43699951171874,197.41799926757812
2020-04-23,205.63300018310548,198.62849960327148
2020-04-24,206.55900115966796,199.4625
2020-04-27,207.35800170898438,199.91449966430665
2020-04-28,207.7830017089844,200.66949996948242
2020-04-29,207.4200012207031,201.1634994506836
2020-04-30,207.27300109863282,201.77449951171874
2020-05-01,206.2740005493164,202.52999954223634
2020-05-04,204.77200012207032,202.80899963378906
2020-05-05,202.6739990234375,203.0109992980957
2020-05-06,201.44199981689454,202.93949966430665
2020-05-07,199.96299896240234,202.7979995727539
2020-05-08,199.08799896240234,202.82350006103516
2020-05-11,198.7709991455078,203.0645004272461
2020-05-12,198.94199829101564,203.3625
2020-05-13,198.85799865722657,203.13899993896484
2020-05-14,198.13399963378907,202.70350036621093
2020-05-15,197.99700012207032,202.13550033569337
2020-05-18,198.91699981689453,201.84449996948243
2020-05-19,201.3300003051758,202.00199966430665
2020-05-20,203.5479995727539,202.49499969482423
2020-05-21,205.70999908447266,202.8364990234375
2020-05-22,207.2769989013672,203.18249893188477
2020-05-26,207.12799835205078,202.9494987487793
2020-05-27,206.75999908447267,202.85099868774415
2020-05-28,206.8469985961914,202.85249862670898
2020-05-29,206.8499984741211,202.49199905395508
2020-06-01,207.45899810791016,202.72799911499024
2020-06-02,207.7479995727539,203.3324996948242
2020-06-03,207.6529998779297,204.49150009155272
2020-06-04,207.79400024414062,205.67099990844727
2020-06-05,207.91900024414062,206.81449966430665
2020-06-08,208.65800018310546,207.96749954223634
2020-06-09,210.58800048828124,208.857999420166
2020-06-10,212.48800048828124,209.62399978637694
2020-06-11,214.73800048828124,210.79249954223633
2020-06-12,216.31300048828126,211.58149948120118
2020-06-15,217.33800048828124,212.39849929809571
2020-06-16,218.38399963378907,213.06599960327148
2020-06-17,219.21299896240234,213.43299942016603
2020-06-18,219.7769989013672,213.7854995727539
2020-06-19,220.32699890136718,214.1229995727539
2020-06-22,220.43599853515624,214.54699935913087
2020-06-23,220.6769989013672,215.63249969482422
2020-06-24,221.47999877929686,216.98399963378907
2020-06-25,221.73399963378907,218.23600006103516
2020-06-26,222.4259994506836,219.36949996948243
2020-06-29,222.23300018310547,219.78550033569337
2020-06-30,222.03200073242186,220.20800018310547
2020-07-01,221.34000091552736,220.27649993896483
2020-07-02,220.51000061035157,220.14349975585938
